sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;61;Session genius.core.session.Session@68eef8f0 failed: Failed to execute protocol: domain does not match the negotiation domain:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@5534f7f5 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@81:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;SAGASpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;3;Session genius.core.session.Session@72a8ec5b failed: Failed to execute protocol: Execution failed of ConanParty@82:java.lang.ClassCastException: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;ConanParty;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@34e2b4a3 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@84:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@2205be0 failed: Failed to execute protocol: Execution failed of SAGASpearman@86:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;SAGASpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@4559be22 failed: Failed to execute protocol: Execution failed of ConanParty@88:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;ConanParty;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@f472c9b failed: Failed to execute protocol: Execution failed of ConanParty@91:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;KakeSobaSpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@3812f42b failed: Failed to execute protocol: Execution failed of ConanParty@93:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;SAGASpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
;2;Session genius.core.session.Session@6e0f8e9f failed: Failed to execute protocol: Execution failed of ConanParty@95:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;ConanParty;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util1;IntegerDomain-prof1
0.026;61;;60rounds;No;No;1;0.00000;0.00000;1.17743;1.26485;0.00000;KakeSobaSpearman@96;KakeSobaSpearman@97;0.0;0.0;0.0;0.0;0.0;0.0;KillerRobot_util1.xml;KillerRobot_util2.xml
